post	target	implied_statement
i oppose it for heathy white babies . in that instance  a white ethno-state would have a clear interest in seeing a birth .	Minorities	Minorities are inferior
theres a good reason for this . these are all caucasian people .	Minorities	Minorities are substandard races.
#narendramodi is making india proud . he loves his country & fights for it . #rajdeepsardesai is ashamed to be indian ( & hindu ) & belittles it	Progressive Indians	Progressive Indians hate hindus.
" rt : are us muslims more accepting of gays than white evangelicals ?  "" it's a tactical play to get polygamy "" "" """	Muslims	Muslims are devious
" rt : are us muslims more accepting of gays than white evangelicals ?  "" it's a tactical play to get polygamy "" "" """	Muslims	Muslims like gay people.
terrorism's goal is to change your attitudes & behaviors on : islam  stars-n-bars  white race  christians  & conservatives .	Muslims	Muslims want to control the world
terrorism's goal is to change your attitudes & behaviors on : islam  stars-n-bars  white race  christians  & conservatives .	Islamic people	Islamic people are terrorists.
the last stand of implicit white identity .	non-white people	non-white people are inferior
nothing is bad about it ... unless you are a poor white supremacist .	Right-Wing whites	Right-Wing whites are self-pitying
nothing is bad about it ... unless you are a poor white supremacist .	poor white people	Poor white people were racists.
that is what #diversity is . erasing and replacing white people .	white people	White people are a minority.
that is what #diversity is . erasing and replacing white people .	Progressives	Progressives are about wiping out the white race
"  "" : shame on blacks : more negroes are in prison than were slaves in 1850 via "" "" """	Black people	Black people are criminals
"  "" : shame on blacks : more negroes are in prison than were slaves in 1850 via "" "" """	black people	Black people are in jail.
"  "" : proud white women speak out against white genocide ( video ) via "" "" """	Minorities	Minorities are trying to wipe out whites
"  "" : proud white women speak out against white genocide ( video ) via "" "" """	non-white people	non-white people are a threat to whites
islamophobia ? what do these people expect when they kill us and fly airplanes into our buildings ?	Islamic people	Islamic people are killers.
islamophobia ? what do these people expect when they kill us and fly airplanes into our buildings ?	People who study Islam	People who study Islam are terrorists
a tale of the jews and the white genocide ( video ) via	Jews	Jews don't like white people.
a tale of the jews and the white genocide ( video ) via	Jews	Jews are responsible for white genocide
: black serial armed robber disguised himself as a white nationalist skinhead via	Black people	Black people are criminals
stop hurting white people .	white people	White people shouldn't be hurt.
stop hurting white people .	Minorities	Minorities are out to destroy whites
no . no non-white refugees  period .	non-white people	Non-white people shouldn't come to the country.
no . no non-white refugees  period .	Immigrants	Immigrants are third-rate people.
they knew from the start ' equality ' meant either destroying the white race or bringing it down to the lowest level .	Minorities	Minorities want to wipe out whites
nationalism is all well & good in israel  yet jews demand open borders  forced multiculturalism  etc in the west #hypocrisymuch	Jews	Jews hold double standards.
